Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
4_3.txt,4941,0.8,closeness,1235,25,83.0,19
4_3.txt,4941,0.9,closeness,247,5,92.9,21
4_3.txt,4941,0.9,closeness,494,10,93.08,18
4_3.txt,4941,0.9,closeness,1235,25,93.89,15
4_3.txt,4941,0.1,random,247,5,6.31,3
4_3.txt,4941,0.1,random,494,10,12.37,6
4_3.txt,4941,0.1,random,1235,25,29.71,4
4_3.txt,4941,0.2,random,247,5,9.23,7
4_3.txt,4941,0.2,random,494,10,17.91,7
4_3.txt,4941,0.2,random,1235,25,38.64,6
4_3.txt,4941,0.3,random,247,5,19.0,16
4_3.txt,4941,0.3,random,494,10,28.86,13
4_3.txt,4941,0.3,random,1235,25,50.44,9
4_3.txt,4941,0.4,random,247,5,29.75,16
4_3.txt,4941,0.4,random,494,10,39.97,12
4_3.txt,4941,0.4,random,1235,25,59.42,8
4_3.txt,4941,0.5,random,247,5,42.99,13
4_3.txt,4941,0.5,random,494,10,53.55,10
4_3.txt,4941,0.5,random,1235,25,69.36,7
4_3.txt,4941,0.6,random,247,5,61.85,16
4_3.txt,4941,0.6,random,494,10,68.2,12
4_3.txt,4941,0.6,random,1235,25,78.32,8
4_3.txt,4941,0.7,random,247,5,74.86,17
4_3.txt,4941,0.7,random,494,10,79.52,12
4_3.txt,4941,0.7,random,1235,25,85.99,7
4_3.txt,4941,0.8,random,247,5,84.96,19
4_3.txt,4941,0.8,random,494,10,87.05,14
4_3.txt,4941,0.8,random,1235,25,91.14,7
4_3.txt,4941,0.9,random,247,5,93.22,13
4_3.txt,4941,0.9,random,494,10,94.33,13
4_3.txt,4941,0.9,random,1235,25,96.22,9
4_4.txt,4941,0.1,degree,247,5,8.54,3
4_4.txt,4941,0.1,degree,494,10,14.55,3
4_4.txt,4941,0.1,degree,1235,25,31.33,3
4_4.txt,4941,0.2,degree,247,5,13.96,4
4_4.txt,4941,0.2,degree,494,10,21.01,4
4_4.txt,4941,0.2,degree,1235,25,38.49,3
4_4.txt,4941,0.3,degree,247,5,20.52,7
4_4.txt,4941,0.3,degree,494,10,29.43,5
4_4.txt,4941,0.3,degree,1235,25,47.22,5
4_4.txt,4941,0.4,degree,247,5,28.21,13
4_4.txt,4941,0.4,degree,494,10,37.16,6
4_4.txt,4941,0.4,degree,1235,25,54.24,5
4_4.txt,4941,0.5,degree,247,5,41.0,17
4_4.txt,4941,0.5,degree,494,10,47.66,12
